instance_id,crossover_mean,crossover_med,crossover_max
15498,1376005.436230607,1052212.1666238264,8562216.31827706
8955,1921797.8631650624,1415737.2911330813,17319991.825133353
26093,1845567.2397573744,1564051.3723680633,13186824.15023422
19862,2355361.6997924,1510381.6176362147,20717575.819243323
14048,4800512.209141006,5036872.692016677,13459551.449127033
6889,1253695.253458095,917144.2969813244,7829064.418485183
19332,4301140.537440955,4322886.650582339,17148436.60425078
15253,1805638.7025770505,1142692.8648386344,11911556.023118872
9434,1995265.8149452505,1812664.3686895592,10181434.255329436
22835,1969780.3466191492,1785766.5553777446,8353329.250457608
4567,4673065.159759514,4882085.455543654,14611445.030378902
1928,1605393.0677698203,1551746.6285257072,8212217.746107994
7952,1344004.429582535,976487.3225930105,8277121.58953257
24834,1450500.7188323957,872178.2649627919,10965164.977976417
21065,3729094.282502048,3480932.71359587,11939633.715849418
22968,2196385.5117635955,1324813.62929572,18276013.37421131
12622,1553376.7669827444,1078873.4750629591,11630906.01712114
12311,985053.0873232897,597144.1016159009,8670379.357202936
8017,955371.6306003338,811379.8325067551,5770874.450086016
11341,1438574.7680216634,927626.5497756437,13084194.261432985
23680,1949674.150335634,1151715.4144798967,15904019.675492667
24525,1928632.7955898102,1120492.440947889,17298633.656504985
19402,1274611.1008284474,880734.9045527078,10687174.894923156
21722,2007217.9520067514,1626762.5874000627,11481067.002732823
3658,2664885.917076514,1440437.919527038,20959537.65085802
3644,1613490.558518686,1313682.2427558864,9788502.844774108
8097,3072165.0694351066,2550453.5978837167,19958378.818951808
13802,4669410.272969188,2513719.9864641144,31072031.52400345
2685,2960475.8428729805,2603023.3650480877,15979546.902258283
14083,1876343.147355018,1266550.2844335176,13816074.281656306
25279,5675244.043452988,5777557.298302302,19512902.841545317
3365,2230304.243543881,2103726.2699870383,11778440.045093365
21447,1846927.0811698174,746425.9089973627,18658506.716485426
